instrument,alpha,key,text,label
NEO5-20,0.85,1,Have a good word for everyone.,Agreeableness
NEO5-20,0.85,1,Believe that others have good intentions.,Agreeableness
NEO5-20,0.85,1,Respect others.,Agreeableness
NEO5-20,0.85,1,Accept people as they are.,Agreeableness
NEO5-20,0.85,1,Make people feel at ease.,Agreeableness
NEO5-20,0.85,1,Am concerned about others.,Agreeableness
NEO5-20,0.85,1,Trust what people say.,Agreeableness
NEO5-20,0.85,1,Sympathize with others' feelings.,Agreeableness
NEO5-20,0.85,1,Am easy to satisfy.,Agreeableness
NEO5-20,0.85,1,Treat all people equally.,Agreeableness
NEO5-20,0.85,-1,Have a sharp tongue.,Agreeableness
NEO5-20,0.85,-1,Cut others to pieces.,Agreeableness
NEO5-20,0.85,-1,Suspect hidden motives in others.,Agreeableness
NEO5-20,0.85,-1,Get back at others.,Agreeableness
NEO5-20,0.85,-1,Insult people.,Agreeableness
NEO5-20,0.85,-1,Believe that I am better than others.,Agreeableness
NEO5-20,0.85,-1,Contradict others.,Agreeableness
NEO5-20,0.85,-1,Make demands on others.,Agreeableness
NEO5-20,0.85,-1,Hold a grudge.,Agreeableness
NEO5-20,0.85,-1,Am out for my own personal gain.,Agreeableness
NEO5-20,0.90,1,Am always prepared.,Conscientiousness
NEO5-20,0.90,1,Pay attention to details.,Conscientiousness
NEO5-20,0.90,1,Get chores done right away.,Conscientiousness
NEO5-20,0.90,1,Carry out my plans.,Conscientiousness
NEO5-20,0.90,1,Make plans and stick to them.,Conscientiousness
NEO5-20,0.90,1,Complete tasks successfully.,Conscientiousness
NEO5-20,0.90,1,Do things according to a plan.,Conscientiousness
NEO5-20,0.90,1,Am exacting in my work.,Conscientiousness
NEO5-20,0.90,1,Finish what I start.,Conscientiousness
NEO5-20,0.90,1,Follow through with my plans.,Conscientiousness
NEO5-20,0.90,-1,Waste my time.,Conscientiousness
NEO5-20,0.90,-1,Find it difficult to get down to work.,Conscientiousness
NEO5-20,0.90,-1,Do just enough work to get by.,Conscientiousness
NEO5-20,0.90,-1,Don't see things through.,Conscientiousness
NEO5-20,0.90,-1,Shirk my duties.,Conscientiousness
NEO5-20,0.90,-1,Mess things up.,Conscientiousness
NEO5-20,0.90,-1,Leave things unfinished.,Conscientiousness
NEO5-20,0.90,-1,Don't put my mind on the task at hand.,Conscientiousness
NEO5-20,0.90,-1,Make a mess of things.,Conscientiousness
NEO5-20,0.90,-1,Need a push to get started.,Conscientiousness
NEO5-20,0.91,1,Feel comfortable around people.,Extraversion
NEO5-20,0.91,1,Make friends easily.,Extraversion
NEO5-20,0.91,1,Am skilled in handling social situations.,Extraversion
