item, trait_label, key

Am the life of the party., Extraversion, +

Feel little concern for others., Agreeableness, -

Am always prepared., Conscientiousness, +

Get stressed out easily., Neuroticism, +

Have a rich vocabulary., Openness, +

Don't talk a lot., Extraversion, -

Am interested in people., Agreeableness, +

Leave my belongings around., Conscientiousness, -

Am relaxed most of the time., Neuroticism, -

Have difficulty understanding abstract ideas., Openness, -

Feel comfortable around people., Extraversion, +

Insult people., Agreeableness, -

Pay attention to details., Conscientiousness, +

Worry about things., Neuroticism, +

Have a vivid imagination., Openness, +

Keep in the background., Extraversion, -

Sympathize with others' feelings., Agreeableness, +

Make a mess of things., Conscientiousness, -

Seldom feel blue., Neuroticism, -

Am not interested in abstract ideas., Openness, -

Start conversations., Extraversion, +

Am not interested in other people's problems., Agreeableness, -

Get chores done right away., Conscientiousness, +

Am easily disturbed., Neuroticism, +

Have excellent ideas., Openness, +

Have little to say., Extraversion, -

Have a soft heart., Agreeableness, +

Often forget to put things back in their proper place., Conscientiousness, -

Get upset easily., Neuroticism, +

Do not have a good imagination., Openness, -

Talk to a lot of different people at parties., Extraversion, +

Am not really interested in others., Agreeableness, -

Like order., Conscientiousness, +

Change my mood a lot., Neuroticism, +

Am quick to understand things., Openness, +

Don't like to draw attention to myself., Extraversion, -

Take time out for others., Agreeableness, +

Shirk my duties., Conscientiousness, -

Have frequent mood swings., Neuroticism, +

Use difficult words., Openness, +

Don't mind being the center of attention., Extraversion, +

Feel others' emotions., Agreeableness, +

Follow a schedule., Conscientiousness, +

Get irritated easily., Neuroticism, +

Spend time reflecting on things., Openness, +

Am quiet around strangers., Extraversion, -

Make people feel at ease., Agreeableness, +

Am exacting in my work., Conscientiousness, +

Often feel blue., Neuroticism, +

Am full of ideas., Openness, +
