Steve Jobs,Facet,,Raw,Percent,Meaning
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
 Neuroticism ,,,131,29,Low
N2: Angry Hostility ,Anger,,32,55,A Little High
N1: Anxiety ,Anxiety,,21,27,Low
N3: Depression ,Depression,,19,22,Low
N5: Impulsiveness ,Immoderation,,22,30,Low
N4: Self-Consciousness ,Self-consciousness,,19,22,Low
N6: Vulnerability ,Vulnerability,,18,20,Very Low
 ,,,,,
 Extraversion ,,,229,70,High
E4: Activity ,Activity-Level,,40,75,High
E3: Assertiveness ,Assertiveness,,48,95,Very High
E6: Positive Emotions ,Cheerfulness,,31,52,Average
E5: Excitement-Seeking ,Excitement-Seeking,,34,60,A Little High
E1: Warmth ,Friendliness,,38,70,High
E2: Gregariousness ,Gregariousness,,38,70,High
 ,,,,,
 Openness ,,,238,74,High
O4: Actions ,Adventurousness,,39,72,High
O2: Aesthetics ,Aesthetic Appreciation,,42,80,Very High
O3: Feelings ,Emotionality,,37,67,High
O1: Fantasy ,Imagination,,42,80,Very High
O5: Ideas ,Intellect,,45,87,Very High
O6: Values ,Liberalism,,33,57,A Little High
 ,,,,,
 Agreeableness,,,167,44,A Little Low
A3: Altruism ,Altruism,,31,52,Average
A4: Compliance ,Cooperation,,23,32,Low
A5: Modesty ,Modesty/Humility,,19,22,Low
A2: Straightforwardness ,Morality,,26,40,A Little Low
A6: Tender-Mindedness ,Sympathy,,32,55,A Little High
A1: Trust ,Trust,,36,65,High
 ,,,,,
 Conscientiousness ,,,246,77,High
C4: Achievement-Striving ,Achievement-Striving,,48,95,Very High
C6: Deliberation ,Cautiousness,,40,75,High
C3: Dutifulness ,Dutifulness,,34,60,A Little High
C2: Order ,Orderliness,,42,80,Very High
C5: Self-Discipline ,Self-Discipline,,41,77,High
C1: Competence ,Self-Efficacy,,41,77,High
