Luke Skywalker,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,117,23,Low
N2: Angry Hostility ,Anger,19,22,Low
N1: Anxiety ,Anxiety,19,22,Low
N3: Depression ,Depression,22,30,Low
N5: Impulsiveness ,Immoderation,21,27,Low
N4: Self-Consciousness ,Self-consciousness,18,20,Very Low
N6: Vulnerability ,Vulnerability,18,20,Very Low
,,,,
Extraversion ,,217,65,High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,38,70,High
E6: Positive Emotions ,Cheerfulness,35,62,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,35,62,A Little High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,37,67,High
,,,,
Openness ,,217,65,High
O4: Actions ,Adventurousness,35,62,A Little High
O2: Aesthetics ,Aesthetic Appreciation,37,67,High
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,37,67,High
O5: Ideas ,Intellect,42,80,Very High
O6: Values ,Liberalism,35,62,A Little High
,,,,
Agreeableness,,221,67,High
A3: Altruism ,Altruism,43,82,Very High
A4: Compliance ,Cooperation,34,60,A Little High
A5: Modesty ,Modesty/Humility,30,50,Average
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,40,75,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,240,75,High
C4: Achievement-Striving ,Achievement-Striving,41,77,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,43,82,Very High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
