Joe Gillis,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,136,31,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,22,30,Low
N5: Impulsiveness ,Immoderation,28,45,A Little Low
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,200,58,A Little High
E4: Activity ,Activity-Level,31,52,Average
E3: Assertiveness ,Assertiveness,28,45,A Little Low
E6: Positive Emotions ,Cheerfulness,35,62,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,37,67,High
,,,,
Openness ,,208,61,A Little High
O4: Actions ,Adventurousness,32,55,A Little High
O2: Aesthetics ,Aesthetic Appreciation,35,62,A Little High
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,39,72,High
O5: Ideas ,Intellect,40,75,High
O6: Values ,Liberalism,31,52,Average
,,,,
Agreeableness,,217,65,High
A3: Altruism ,Altruism,36,65,High
A4: Compliance ,Cooperation,34,60,A Little High
A5: Modesty ,Modesty/Humility,37,67,High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,32,55,A Little High
A1: Trust ,Trust,40,75,High
,,,,
Conscientiousness ,,211,62,A Little High
C4: Achievement-Striving ,Achievement-Striving,39,72,High
C6: Deliberation ,Cautiousness,34,60,A Little High
C3: Dutifulness ,Dutifulness,38,70,High
C2: Order ,Orderliness,29,47,Average
C5: Self-Discipline ,Self-Discipline,37,67,High
C1: Competence,Self-Efficacy,34,60,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
