Joffrey Baratheon,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,167,44,A Little Low
N2: Angry Hostility ,Anger,46,90,Very High
N1: Anxiety ,Anxiety,23,32,Low
N3: Depression ,Depression,21,27,Low
N5: Impulsiveness ,Immoderation,34,60,A Little High
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,24,35,Low
,,,,
Extraversion ,,212,63,A Little High
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,48,95,Very High
E6: Positive Emotions ,Cheerfulness,26,40,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,38,70,High
E1: Warmth ,Friendliness,32,55,A Little High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,143,34,Low
O4: Actions ,Adventurousness,25,37,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,31,52,Average
O3: Feelings ,Emotionality,24,35,Low
O1: Fantasy ,Imagination,31,52,Average
O5: Ideas ,Intellect,18,20,Very Low
O6: Values ,Liberalism,14,10,Very Low
,,,,
Agreeableness,,79,7,Very Low
A3: Altruism ,Altruism,11,2,Very Low
A4: Compliance ,Cooperation,11,2,Very Low
A5: Modesty ,Modesty/Humility,15,12,Very Low
A2: Straightforwardness ,Morality,14,10,Very Low
A6: Tender-Mindedness ,Sympathy,11,2,Very Low
A1: Trust ,Trust,17,17,Very Low
,,,,
Conscientiousness ,,175,47,Average
C4: Achievement-Striving ,Achievement-Striving,35,62,A Little High
C6: Deliberation ,Cautiousness,27,42,A Little Low
C3: Dutifulness ,Dutifulness,19,22,Low
C2: Order ,Orderliness,27,42,A Little Low
C5: Self-Discipline ,Self-Discipline,34,60,A Little High
C1: Competence,Self-Efficacy,33,57,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
