Renly Baratheon,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,29,47,Average
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,218,65,High
E4: Activity ,Activity-Level,25,37,A Little Low
E3: Assertiveness ,Assertiveness,45,87,Very High
E6: Positive Emotions ,Cheerfulness,36,65,High
E5: Excitement-Seeking ,Excitement-Seeking,36,65,High
E1: Warmth ,Friendliness,37,67,High
E2: Gregariousness ,Gregariousness,39,72,High
,,,,
Openness ,,162,42,A Little Low
O4: Actions ,Adventurousness,30,50,Average
O2: Aesthetics ,Aesthetic Appreciation,32,55,A Little High
O3: Feelings ,Emotionality,20,25,Low
O1: Fantasy ,Imagination,33,57,A Little High
O5: Ideas ,Intellect,23,32,Low
O6: Values ,Liberalism,24,35,Low
,,,,
Agreeableness,,145,35,Low
A3: Altruism ,Altruism,25,37,A Little Low
A4: Compliance ,Cooperation,27,42,A Little Low
A5: Modesty ,Modesty/Humility,24,35,Low
A2: Straightforwardness ,Morality,20,25,Low
A6: Tender-Mindedness ,Sympathy,23,32,Low
A1: Trust ,Trust,26,40,A Little Low
,,,,
Conscientiousness ,,177,48,Average
C4: Achievement-Striving ,Achievement-Striving,29,47,Average
C6: Deliberation ,Cautiousness,30,50,Average
C3: Dutifulness ,Dutifulness,30,50,Average
C2: Order ,Orderliness,26,40,A Little Low
C5: Self-Discipline ,Self-Discipline,34,60,A Little High
C1: Competence,Self-Efficacy,28,45,A Little Low
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
