Robert Baratheon,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,148,36,Low
N2: Angry Hostility ,Anger,32,55,A Little High
N1: Anxiety ,Anxiety,19,22,Low
N3: Depression ,Depression,19,22,Low
N5: Impulsiveness ,Immoderation,39,72,High
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,239,74,High
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,49,97,Very High
E6: Positive Emotions ,Cheerfulness,44,85,Very High
E5: Excitement-Seeking ,Excitement-Seeking,39,72,High
E1: Warmth ,Friendliness,38,70,High
E2: Gregariousness ,Gregariousness,39,72,High
,,,,
Openness ,,154,39,A Little Low
O4: Actions ,Adventurousness,26,40,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,27,42,A Little Low
O3: Feelings ,Emotionality,25,37,A Little Low
O1: Fantasy ,Imagination,27,42,A Little Low
O5: Ideas ,Intellect,22,30,Low
O6: Values ,Liberalism,27,42,A Little Low
,,,,
Agreeableness,,127,27,Low
A3: Altruism ,Altruism,19,22,Low
A4: Compliance ,Cooperation,16,15,Very Low
A5: Modesty ,Modesty/Humility,13,7,Very Low
A2: Straightforwardness ,Morality,24,35,Low
A6: Tender-Mindedness ,Sympathy,19,22,Low
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,182,50,Average
C4: Achievement-Striving ,Achievement-Striving,34,60,A Little High
C6: Deliberation ,Cautiousness,26,40,A Little Low
C3: Dutifulness ,Dutifulness,25,37,A Little Low
C2: Order ,Orderliness,26,40,A Little Low
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,33,57,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
