Robb Stark,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,26,40,A Little Low
N1: Anxiety ,Anxiety,23,32,Low
N3: Depression ,Depression,19,22,Low
N5: Impulsiveness ,Immoderation,22,30,Low
N4: Self-Consciousness ,Self-consciousness,23,32,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,191,54,A Little High
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,42,80,Very High
E6: Positive Emotions ,Cheerfulness,25,37,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,30,50,Average
E1: Warmth ,Friendliness,36,65,High
E2: Gregariousness ,Gregariousness,30,50,Average
,,,,
Openness ,,155,39,A Little Low
O4: Actions ,Adventurousness,22,30,Low
O2: Aesthetics ,Aesthetic Appreciation,29,47,Average
O3: Feelings ,Emotionality,30,50,Average
O1: Fantasy ,Imagination,29,47,Average
O5: Ideas ,Intellect,26,40,A Little Low
O6: Values ,Liberalism,19,22,Low
,,,,
Agreeableness,,174,47,Average
A3: Altruism ,Altruism,32,55,A Little High
A4: Compliance ,Cooperation,24,35,Low
A5: Modesty ,Modesty/Humility,24,35,Low
A2: Straightforwardness ,Morality,29,47,Average
A6: Tender-Mindedness ,Sympathy,29,47,Average
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,223,67,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,32,55,A Little High
C1: Competence,Self-Efficacy,36,65,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
