Elliot Stabler,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,120,25,Low
N2: Angry Hostility ,Anger,27,42,A Little Low
N1: Anxiety ,Anxiety,18,20,Very Low
N3: Depression ,Depression,18,20,Very Low
N5: Impulsiveness ,Immoderation,22,30,Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,14,10,Very Low
,,,,
Extraversion ,,202,59,A Little High
E4: Activity ,Activity-Level,35,62,A Little High
E3: Assertiveness ,Assertiveness,42,80,Very High
E6: Positive Emotions ,Cheerfulness,23,32,Low
E5: Excitement-Seeking ,Excitement-Seeking,34,60,A Little High
E1: Warmth ,Friendliness,36,65,High
E2: Gregariousness ,Gregariousness,32,55,A Little High
,,,,
Openness ,,134,30,Low
O4: Actions ,Adventurousness,22,30,Low
O2: Aesthetics ,Aesthetic Appreciation,23,32,Low
O3: Feelings ,Emotionality,24,35,Low
O1: Fantasy ,Imagination,19,22,Low
O5: Ideas ,Intellect,28,45,A Little Low
O6: Values ,Liberalism,18,20,Very Low
,,,,
Agreeableness,,165,43,A Little Low
A3: Altruism ,Altruism,33,57,A Little High
A4: Compliance ,Cooperation,18,20,Very Low
A5: Modesty ,Modesty/Humility,27,42,A Little Low
A2: Straightforwardness ,Morality,33,57,A Little High
A6: Tender-Mindedness ,Sympathy,34,60,A Little High
A1: Trust ,Trust,20,25,Low
,,,,
Conscientiousness ,,244,76,High
C4: Achievement-Striving ,Achievement-Striving,43,82,Very High
C6: Deliberation ,Cautiousness,32,55,A Little High
C3: Dutifulness ,Dutifulness,47,92,Very High
C2: Order ,Orderliness,39,72,High
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,42,80,Very High
