Nick Amaro,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,169,45,A Little Low
N2: Angry Hostility ,Anger,37,67,High
N1: Anxiety ,Anxiety,30,50,Average
N3: Depression ,Depression,23,32,Low
N5: Impulsiveness ,Immoderation,26,40,A Little Low
N4: Self-Consciousness ,Self-consciousness,25,37,A Little Low
N6: Vulnerability ,Vulnerability,28,45,A Little Low
,,,,
Extraversion ,,193,55,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,36,65,High
E6: Positive Emotions ,Cheerfulness,26,40,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,36,65,High
E2: Gregariousness ,Gregariousness,34,60,A Little High
,,,,
Openness ,,162,42,A Little Low
O4: Actions ,Adventurousness,26,40,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,31,52,Average
O3: Feelings ,Emotionality,32,55,A Little High
O1: Fantasy ,Imagination,23,32,Low
O5: Ideas ,Intellect,25,37,A Little Low
O6: Values ,Liberalism,25,37,A Little Low
,,,,
Agreeableness,,194,55,A Little High
A3: Altruism ,Altruism,38,70,High
A4: Compliance ,Cooperation,24,35,Low
A5: Modesty ,Modesty/Humility,33,57,A Little High
A2: Straightforwardness ,Morality,34,60,A Little High
A6: Tender-Mindedness ,Sympathy,31,52,Average
A1: Trust ,Trust,34,60,A Little High
,,,,
Conscientiousness ,,221,67,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,30,50,Average
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,37,67,High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,36,65,High
