Bob Marley,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
 Neuroticism ,,134,30,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,23,32,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,27,42,A Little Low
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,22,30,Low
 ,,,,
 Extraversion ,,223,67,High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,40,75,High
E6: Positive Emotions ,Cheerfulness,41,77,High
E5: Excitement-Seeking ,Excitement-Seeking,32,55,A Little High
E1: Warmth ,Friendliness,41,77,High
E2: Gregariousness ,Gregariousness,37,67,High
 ,,,,
 Openness ,,247,77,High
O4: Actions ,Adventurousness,37,67,High
O2: Aesthetics ,Aesthetic Appreciation,47,92,Very High
O3: Feelings ,Emotionality,39,72,High
O1: Fantasy ,Imagination,41,77,High
O5: Ideas ,Intellect,44,85,Very High
O6: Values ,Liberalism,39,72,High
 ,,,,
 Agreeableness,,229,70,High
A3: Altruism ,Altruism,45,87,Very High
A4: Compliance ,Cooperation,35,62,A Little High
A5: Modesty ,Modesty/Humility,31,52,Average
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,43,82,Very High
A1: Trust ,Trust,39,72,High
 ,,,,
 Conscientiousness ,,213,63,A Little High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,34,60,A Little High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,28,45,A Little Low
C5: Self-Discipline ,Self-Discipline,34,60,A Little High
C1: Competence,Self-Efficacy,37,67,High
