R2-D2,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,123,26,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,22,30,Low
N5: Impulsiveness ,Immoderation,20,25,Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,178,49,Average
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,22,30,Low
E6: Positive Emotions ,Cheerfulness,28,45,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,28,45,A Little Low
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,30,50,Average
,,,,
Openness ,,161,42,A Little Low
O4: Actions ,Adventurousness,29,47,Average
O2: Aesthetics ,Aesthetic Appreciation,30,50,Average
O3: Feelings ,Emotionality,21,27,Low
O1: Fantasy ,Imagination,21,27,Low
O5: Ideas ,Intellect,26,40,A Little Low
O6: Values ,Liberalism,34,60,A Little High
,,,,
Agreeableness,,223,67,High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,38,70,High
A5: Modesty ,Modesty/Humility,36,65,High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,33,57,A Little High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,224,68,High
C4: Achievement-Striving ,Achievement-Striving,36,65,High
C6: Deliberation ,Cautiousness,39,72,High
C3: Dutifulness ,Dutifulness,37,67,High
C2: Order ,Orderliness,36,65,High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,38,70,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
