Yoda,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,117,23,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,19,22,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,20,25,Low
N4: Self-Consciousness ,Self-consciousness,20,25,Low
N6: Vulnerability ,Vulnerability,18,20,Very Low
,,,,
Extraversion ,,202,59,A Little High
E4: Activity ,Activity-Level,27,42,A Little Low
E3: Assertiveness ,Assertiveness,39,72,High
E6: Positive Emotions ,Cheerfulness,36,65,High
E5: Excitement-Seeking ,Excitement-Seeking,31,52,Average
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,29,47,Average
,,,,
Openness ,,209,62,A Little High
O4: Actions ,Adventurousness,31,52,Average
O2: Aesthetics ,Aesthetic Appreciation,33,57,A Little High
O3: Feelings ,Emotionality,32,55,A Little High
O1: Fantasy ,Imagination,41,77,High
O5: Ideas ,Intellect,41,77,High
O6: Values ,Liberalism,31,52,Average
,,,,
Agreeableness,,203,59,A Little High
A3: Altruism ,Altruism,38,70,High
A4: Compliance ,Cooperation,28,45,A Little Low
A5: Modesty ,Modesty/Humility,26,40,A Little Low
A2: Straightforwardness ,Morality,34,60,A Little High
A6: Tender-Mindedness ,Sympathy,39,72,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,236,73,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,41,77,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
