Norma Desmond,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,177,48,Average
N2: Angry Hostility ,Anger,39,72,High
N1: Anxiety ,Anxiety,28,45,A Little Low
N3: Depression ,Depression,26,40,A Little Low
N5: Impulsiveness ,Immoderation,29,47,Average
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,36,65,High
,,,,
Extraversion ,,205,60,A Little High
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,43,82,Very High
E6: Positive Emotions ,Cheerfulness,30,50,Average
E5: Excitement-Seeking ,Excitement-Seeking,32,55,A Little High
E1: Warmth ,Friendliness,38,70,High
E2: Gregariousness ,Gregariousness,34,60,A Little High
,,,,
Openness ,,180,50,Average
O4: Actions ,Adventurousness,22,30,Low
O2: Aesthetics ,Aesthetic Appreciation,38,70,High
O3: Feelings ,Emotionality,33,57,A Little High
O1: Fantasy ,Imagination,37,67,High
O5: Ideas ,Intellect,22,30,Low
O6: Values ,Liberalism,28,45,A Little Low
,,,,
Agreeableness,,144,35,Low
A3: Altruism ,Altruism,25,37,A Little Low
A4: Compliance ,Cooperation,20,25,Low
A5: Modesty ,Modesty/Humility,11,2,Very Low
A2: Straightforwardness ,Morality,26,40,A Little Low
A6: Tender-Mindedness ,Sympathy,24,35,Low
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,198,57,A Little High
C4: Achievement-Striving ,Achievement-Striving,37,67,High
C6: Deliberation ,Cautiousness,28,45,A Little Low
C3: Dutifulness ,Dutifulness,34,60,A Little High
C2: Order ,Orderliness,29,47,Average
C5: Self-Discipline ,Self-Discipline,36,65,High
C1: Competence,Self-Efficacy,34,60,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
