Joey Tribbiani,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,152,38,A Little Low
N2: Angry Hostility ,Anger,22,30,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,37,67,High
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,31,52,Average
,,,,
Extraversion ,,210,62,A Little High
E4: Activity ,Activity-Level,24,35,Low
E3: Assertiveness ,Assertiveness,28,45,A Little Low
E6: Positive Emotions ,Cheerfulness,41,77,High
E5: Excitement-Seeking ,Excitement-Seeking,37,67,High
E1: Warmth ,Friendliness,41,77,High
E2: Gregariousness ,Gregariousness,39,72,High
,,,,
Openness ,,172,46,A Little Low
O4: Actions ,Adventurousness,29,47,Average
O2: Aesthetics ,Aesthetic Appreciation,34,60,A Little High
O3: Feelings ,Emotionality,26,40,A Little Low
O1: Fantasy ,Imagination,35,62,A Little High
O5: Ideas ,Intellect,15,12,Very Low
O6: Values ,Liberalism,33,57,A Little High
,,,,
Agreeableness,,216,65,High
A3: Altruism ,Altruism,38,70,High
A4: Compliance ,Cooperation,38,70,High
A5: Modesty ,Modesty/Humility,25,37,A Little Low
A2: Straightforwardness ,Morality,41,77,High
A6: Tender-Mindedness ,Sympathy,34,60,A Little High
A1: Trust ,Trust,40,75,High
,,,,
Conscientiousness ,,171,46,A Little Low
C4: Achievement-Striving ,Achievement-Striving,30,50,Average
C6: Deliberation ,Cautiousness,24,35,Low
C3: Dutifulness ,Dutifulness,38,70,High
C2: Order ,Orderliness,20,25,Low
C5: Self-Discipline ,Self-Discipline,28,45,A Little Low
C1: Competence,Self-Efficacy,31,52,Average
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
