Monica Geller,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,154,39,A Little Low
N2: Angry Hostility ,Anger,26,40,A Little Low
N1: Anxiety ,Anxiety,32,55,A Little High
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,25,37,A Little Low
N4: Self-Consciousness ,Self-consciousness,32,55,A Little High
N6: Vulnerability ,Vulnerability,19,22,Low
,,,,
Extraversion ,,205,60,A Little High
E4: Activity ,Activity-Level,37,67,High
E3: Assertiveness ,Assertiveness,39,72,High
E6: Positive Emotions ,Cheerfulness,30,50,Average
E5: Excitement-Seeking ,Excitement-Seeking,23,32,Low
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,36,65,High
,,,,
Openness ,,177,48,Average
O4: Actions ,Adventurousness,25,37,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,38,70,High
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,28,45,A Little Low
O5: Ideas ,Intellect,27,42,A Little Low
O6: Values ,Liberalism,28,45,A Little Low
,,,,
Agreeableness,,206,60,A Little High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,33,57,A Little High
A5: Modesty ,Modesty/Humility,28,45,A Little Low
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,27,42,A Little Low
A1: Trust ,Trust,40,75,High
,,,,
Conscientiousness ,,257,82,Very High
C4: Achievement-Striving ,Achievement-Striving,45,87,Very High
C6: Deliberation ,Cautiousness,42,80,Very High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,47,92,Very High
C5: Self-Discipline ,Self-Discipline,45,87,Very High
C1: Competence,Self-Efficacy,38,70,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
