Phoebe Buffay,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,136,31,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,26,40,A Little Low
N6: Vulnerability ,Vulnerability,26,40,A Little Low
,,,,
Extraversion ,,209,62,A Little High
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,29,47,Average
E6: Positive Emotions ,Cheerfulness,40,75,High
E5: Excitement-Seeking ,Excitement-Seeking,30,50,Average
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,40,75,High
,,,,
Openness ,,248,78,High
O4: Actions ,Adventurousness,37,67,High
O2: Aesthetics ,Aesthetic Appreciation,42,80,Very High
O3: Feelings ,Emotionality,42,80,Very High
O1: Fantasy ,Imagination,43,82,Very High
O5: Ideas ,Intellect,39,72,High
O6: Values ,Liberalism,45,87,Very High
,,,,
Agreeableness,,225,68,High
A3: Altruism ,Altruism,43,82,Very High
A4: Compliance ,Cooperation,40,75,High
A5: Modesty ,Modesty/Humility,28,45,A Little Low
A2: Straightforwardness ,Morality,35,62,A Little High
A6: Tender-Mindedness ,Sympathy,43,82,Very High
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,195,56,A Little High
C4: Achievement-Striving ,Achievement-Striving,30,50,Average
C6: Deliberation ,Cautiousness,29,47,Average
C3: Dutifulness ,Dutifulness,37,67,High
C2: Order ,Orderliness,26,40,A Little Low
C5: Self-Discipline ,Self-Discipline,37,67,High
C1: Competence,Self-Efficacy,36,65,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
