Ross Geller,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,185,52,Average
N2: Angry Hostility ,Anger,45,87,Very High
N1: Anxiety ,Anxiety,30,50,Average
N3: Depression ,Depression,24,35,Low
N5: Impulsiveness ,Immoderation,27,42,A Little Low
N4: Self-Consciousness ,Self-consciousness,28,45,A Little Low
N6: Vulnerability ,Vulnerability,31,52,Average
,,,,
Extraversion ,,200,58,A Little High
E4: Activity ,Activity-Level,35,62,A Little High
E3: Assertiveness ,Assertiveness,38,70,High
E6: Positive Emotions ,Cheerfulness,27,42,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,26,40,A Little Low
E1: Warmth ,Friendliness,36,65,High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,197,57,A Little High
O4: Actions ,Adventurousness,26,40,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,38,70,High
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,34,60,A Little High
O5: Ideas ,Intellect,40,75,High
O6: Values ,Liberalism,28,45,A Little Low
,,,,
Agreeableness,,162,42,A Little Low
A3: Altruism ,Altruism,30,50,Average
A4: Compliance ,Cooperation,20,25,Low
A5: Modesty ,Modesty/Humility,20,25,Low
A2: Straightforwardness ,Morality,34,60,A Little High
A6: Tender-Mindedness ,Sympathy,24,35,Low
A1: Trust ,Trust,34,60,A Little High
,,,,
Conscientiousness ,,220,66,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,28,45,A Little Low
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,35,62,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,37,67,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
