Ned Stark,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,22,30,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,25,37,A Little Low
N6: Vulnerability ,Vulnerability,21,27,Low
,,,,
Extraversion ,,192,55,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,36,65,High
E6: Positive Emotions ,Cheerfulness,31,52,Average
E5: Excitement-Seeking ,Excitement-Seeking,21,27,Low
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,32,55,A Little High
,,,,
Openness ,,146,35,Low
O4: Actions ,Adventurousness,25,37,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,29,47,Average
O3: Feelings ,Emotionality,25,37,A Little Low
O1: Fantasy ,Imagination,22,30,Low
O5: Ideas ,Intellect,20,25,Low
O6: Values ,Liberalism,25,37,A Little Low
,,,,
Agreeableness,,208,61,A Little High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,30,50,Average
A5: Modesty ,Modesty/Humility,32,55,A Little High
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,32,55,A Little High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,228,70,High
C4: Achievement-Striving ,Achievement-Striving,38,70,High
C6: Deliberation ,Cautiousness,38,70,High
C3: Dutifulness ,Dutifulness,42,80,Very High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,36,65,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
