Viserys Targaryen,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,167,44,A Little Low
N2: Angry Hostility ,Anger,40,75,High
N1: Anxiety ,Anxiety,28,45,A Little Low
N3: Depression ,Depression,18,20,Very Low
N5: Impulsiveness ,Immoderation,30,50,Average
N4: Self-Consciousness ,Self-consciousness,24,35,Low
N6: Vulnerability ,Vulnerability,27,42,A Little Low
,,,,
Extraversion ,,191,54,A Little High
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,47,92,Very High
E6: Positive Emotions ,Cheerfulness,20,25,Low
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,31,52,Average
E2: Gregariousness ,Gregariousness,34,60,A Little High
,,,,
Openness ,,148,36,Low
O4: Actions ,Adventurousness,25,37,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,24,35,Low
O3: Feelings ,Emotionality,29,47,Average
O1: Fantasy ,Imagination,29,47,Average
O5: Ideas ,Intellect,22,30,Low
O6: Values ,Liberalism,19,22,Low
,,,,
Agreeableness,,109,20,Very Low
A3: Altruism ,Altruism,15,12,Very Low
A4: Compliance ,Cooperation,20,25,Low
A5: Modesty ,Modesty/Humility,14,10,Very Low
A2: Straightforwardness ,Morality,22,30,Low
A6: Tender-Mindedness ,Sympathy,14,10,Very Low
A1: Trust ,Trust,24,35,Low
,,,,
Conscientiousness ,,189,53,Average
C4: Achievement-Striving ,Achievement-Striving,36,65,High
C6: Deliberation ,Cautiousness,28,45,A Little Low
C3: Dutifulness ,Dutifulness,25,37,A Little Low
C2: Order ,Orderliness,32,55,A Little High
C5: Self-Discipline ,Self-Discipline,33,57,A Little High
C1: Competence,Self-Efficacy,35,62,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
