Ygritte,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,136,31,Low
N2: Angry Hostility ,Anger,32,55,A Little High
N1: Anxiety ,Anxiety,19,22,Low
N3: Depression ,Depression,19,22,Low
N5: Impulsiveness ,Immoderation,25,37,A Little Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,219,66,High
E4: Activity ,Activity-Level,25,37,A Little Low
E3: Assertiveness ,Assertiveness,37,67,High
E6: Positive Emotions ,Cheerfulness,41,77,High
E5: Excitement-Seeking ,Excitement-Seeking,39,72,High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,37,67,High
,,,,
Openness ,,191,54,A Little High
O4: Actions ,Adventurousness,27,42,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,35,62,A Little High
O3: Feelings ,Emotionality,30,50,Average
O1: Fantasy ,Imagination,33,57,A Little High
O5: Ideas ,Intellect,23,32,Low
O6: Values ,Liberalism,43,82,Very High
,,,,
Agreeableness,,180,50,Average
A3: Altruism ,Altruism,34,60,A Little High
A4: Compliance ,Cooperation,23,32,Low
A5: Modesty ,Modesty/Humility,27,42,A Little Low
A2: Straightforwardness ,Morality,32,55,A Little High
A6: Tender-Mindedness ,Sympathy,26,40,A Little Low
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,193,55,A Little High
C4: Achievement-Striving ,Achievement-Striving,34,60,A Little High
C6: Deliberation ,Cautiousness,25,37,A Little Low
C3: Dutifulness ,Dutifulness,36,65,High
C2: Order ,Orderliness,23,32,Low
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,35,62,A Little High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
