Anakin Skywalker,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,163,42,A Little Low
N2: Angry Hostility ,Anger,34,60,A Little High
N1: Anxiety ,Anxiety,30,50,Average
N3: Depression ,Depression,26,40,A Little Low
N5: Impulsiveness ,Immoderation,28,45,A Little Low
N4: Self-Consciousness ,Self-consciousness,20,25,Low
N6: Vulnerability ,Vulnerability,25,37,A Little Low
,,,,
Extraversion ,,207,61,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,32,55,A Little High
E6: Positive Emotions ,Cheerfulness,30,50,Average
E5: Excitement-Seeking ,Excitement-Seeking,39,72,High
E1: Warmth ,Friendliness,38,70,High
E2: Gregariousness ,Gregariousness,36,65,High
,,,,
Openness ,,176,48,Average
O4: Actions ,Adventurousness,30,50,Average
O2: Aesthetics ,Aesthetic Appreciation,33,57,A Little High
O3: Feelings ,Emotionality,24,35,Low
O1: Fantasy ,Imagination,37,67,High
O5: Ideas ,Intellect,27,42,A Little Low
O6: Values ,Liberalism,25,37,A Little Low
,,,,
Agreeableness,,182,50,Average
A3: Altruism ,Altruism,34,60,A Little High
A4: Compliance ,Cooperation,26,40,A Little Low
A5: Modesty ,Modesty/Humility,24,35,Low
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,28,45,A Little Low
A1: Trust ,Trust,32,55,A Little High
,,,,
Conscientiousness ,,215,64,High
C4: Achievement-Striving ,Achievement-Striving,41,77,High
C6: Deliberation ,Cautiousness,28,45,A Little Low
C3: Dutifulness ,Dutifulness,36,65,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,36,65,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
