C-3PO,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,184,51,Average
N2: Angry Hostility ,Anger,32,55,A Little High
N1: Anxiety ,Anxiety,34,60,A Little High
N3: Depression ,Depression,28,45,A Little Low
N5: Impulsiveness ,Immoderation,27,42,A Little Low
N4: Self-Consciousness ,Self-consciousness,27,42,A Little Low
N6: Vulnerability ,Vulnerability,36,65,High
,,,,
Extraversion ,,187,52,Average
E4: Activity ,Activity-Level,29,47,Average
E3: Assertiveness ,Assertiveness,27,42,A Little Low
E6: Positive Emotions ,Cheerfulness,28,45,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,26,40,A Little Low
E1: Warmth ,Friendliness,39,72,High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,166,44,A Little Low
O4: Actions ,Adventurousness,26,40,A Little Low
O2: Aesthetics ,Aesthetic Appreciation,28,45,A Little Low
O3: Feelings ,Emotionality,33,57,A Little High
O1: Fantasy ,Imagination,22,30,Low
O5: Ideas ,Intellect,25,37,A Little Low
O6: Values ,Liberalism,32,55,A Little High
,,,,
Agreeableness,,209,62,A Little High
A3: Altruism ,Altruism,36,65,High
A4: Compliance ,Cooperation,37,67,High
A5: Modesty ,Modesty/Humility,32,55,A Little High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,28,45,A Little Low
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,203,59,A Little High
C4: Achievement-Striving ,Achievement-Striving,31,52,Average
C6: Deliberation ,Cautiousness,36,65,High
C3: Dutifulness ,Dutifulness,39,72,High
C2: Order ,Orderliness,35,62,A Little High
C5: Self-Discipline ,Self-Discipline,33,57,A Little High
C1: Competence,Self-Efficacy,29,47,Average
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
