Obi-Wan Kenobi,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,129,28,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,26,40,A Little Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,184,51,Average
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,36,65,High
E6: Positive Emotions ,Cheerfulness,28,45,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,34,60,A Little High
E2: Gregariousness ,Gregariousness,25,37,A Little Low
,,,,
Openness ,,196,56,A Little High
O4: Actions ,Adventurousness,33,57,A Little High
O2: Aesthetics ,Aesthetic Appreciation,32,55,A Little High
O3: Feelings ,Emotionality,30,50,Average
O1: Fantasy ,Imagination,36,65,High
O5: Ideas ,Intellect,38,70,High
O6: Values ,Liberalism,27,42,A Little Low
,,,,
Agreeableness,,201,58,A Little High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,26,40,A Little Low
A5: Modesty ,Modesty/Humility,30,50,Average
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,35,62,A Little High
A1: Trust ,Trust,34,60,A Little High
,,,,
Conscientiousness ,,230,70,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,32,55,A Little High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,40,75,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
