Padme Amidala,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,24,35,Low
N6: Vulnerability ,Vulnerability,26,40,A Little Low
,,,,
Extraversion ,,203,59,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,36,65,High
E6: Positive Emotions ,Cheerfulness,32,55,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,28,45,A Little Low
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,35,62,A Little High
,,,,
Openness ,,226,69,High
O4: Actions ,Adventurousness,33,57,A Little High
O2: Aesthetics ,Aesthetic Appreciation,40,75,High
O3: Feelings ,Emotionality,40,75,High
O1: Fantasy ,Imagination,36,65,High
O5: Ideas ,Intellect,39,72,High
O6: Values ,Liberalism,38,70,High
,,,,
Agreeableness,,222,67,High
A3: Altruism ,Altruism,41,77,High
A4: Compliance ,Cooperation,36,65,High
A5: Modesty ,Modesty/Humility,30,50,Average
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,37,67,High
A1: Trust ,Trust,40,75,High
,,,,
Conscientiousness ,,230,70,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,38,70,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
