Sheev Palpatine,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,30,50,Average
N1: Anxiety ,Anxiety,18,20,Very Low
N3: Depression ,Depression,17,17,Very Low
N5: Impulsiveness ,Immoderation,32,55,A Little High
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,17,17,Very Low
,,,,
Extraversion ,,201,58,A Little High
E4: Activity ,Activity-Level,37,67,High
E3: Assertiveness ,Assertiveness,42,80,Very High
E6: Positive Emotions ,Cheerfulness,29,47,Average
E5: Excitement-Seeking ,Excitement-Seeking,32,55,A Little High
E1: Warmth ,Friendliness,28,45,A Little Low
E2: Gregariousness ,Gregariousness,33,57,A Little High
,,,,
Openness ,,154,39,A Little Low
O4: Actions ,Adventurousness,29,47,Average
O2: Aesthetics ,Aesthetic Appreciation,25,37,A Little Low
O3: Feelings ,Emotionality,22,30,Low
O1: Fantasy ,Imagination,32,55,A Little High
O5: Ideas ,Intellect,28,45,A Little Low
O6: Values ,Liberalism,18,20,Very Low
,,,,
Agreeableness,,100,16,Very Low
A3: Altruism ,Altruism,14,10,Very Low
A4: Compliance ,Cooperation,15,12,Very Low
A5: Modesty ,Modesty/Humility,19,22,Low
A2: Straightforwardness ,Morality,19,22,Low
A6: Tender-Mindedness ,Sympathy,14,10,Very Low
A1: Trust ,Trust,19,22,Low
,,,,
Conscientiousness ,,216,65,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,36,65,High
C3: Dutifulness ,Dutifulness,20,25,Low
C2: Order ,Orderliness,37,67,High
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,40,75,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
