Cory Booker,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,123,26,Low
N2: Angry Hostility ,Anger,21,27,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,20,25,Low
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,21,27,Low
,,,,
Extraversion ,,224,68,High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,40,75,High
E6: Positive Emotions ,Cheerfulness,38,70,High
E5: Excitement-Seeking ,Excitement-Seeking,34,60,A Little High
E1: Warmth ,Friendliness,42,80,Very High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,235,72,High
O4: Actions ,Adventurousness,37,67,High
O2: Aesthetics ,Aesthetic Appreciation,41,77,High
O3: Feelings ,Emotionality,36,65,High
O1: Fantasy ,Imagination,39,72,High
O5: Ideas ,Intellect,41,77,High
O6: Values ,Liberalism,41,77,High
,,,,
Agreeableness,,227,69,High
A3: Altruism ,Altruism,46,90,Very High
A4: Compliance ,Cooperation,36,65,High
A5: Modesty ,Modesty/Humility,26,40,A Little Low
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,46,90,Very High
A1: Trust ,Trust,37,67,High
,,,,
Conscientiousness ,,228,70,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,37,67,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,32,55,A Little High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,40,75,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
