Elizabeth Warren,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,128,28,Low
N2: Angry Hostility ,Anger,22,30,Low
N1: Anxiety ,Anxiety,24,35,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,20,25,Low
N6: Vulnerability ,Vulnerability,18,20,Very Low
,,,,
Extraversion ,,207,61,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,43,82,Very High
E6: Positive Emotions ,Cheerfulness,31,52,Average
E5: Excitement-Seeking ,Excitement-Seeking,22,30,Low
E1: Warmth ,Friendliness,41,77,High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,223,67,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,34,60,A Little High
O3: Feelings ,Emotionality,37,67,High
O1: Fantasy ,Imagination,36,65,High
O5: Ideas ,Intellect,42,80,Very High
O6: Values ,Liberalism,38,70,High
,,,,
Agreeableness,,208,61,A Little High
A3: Altruism ,Altruism,41,77,High
A4: Compliance ,Cooperation,30,50,Average
A5: Modesty ,Modesty/Humility,21,27,Low
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,42,80,Very High
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,237,73,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,38,70,High
C2: Order ,Orderliness,38,70,High
C5: Self-Discipline ,Self-Discipline,39,72,High
C1: Competence,Self-Efficacy,42,80,Very High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
