Nancy Pelosi,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,131,29,Low
N2: Angry Hostility ,Anger,23,32,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,198,57,A Little High
E4: Activity ,Activity-Level,33,57,A Little High
E3: Assertiveness ,Assertiveness,42,80,Very High
E6: Positive Emotions ,Cheerfulness,29,47,Average
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,31,52,Average
E2: Gregariousness ,Gregariousness,34,60,A Little High
,,,,
Openness ,,212,63,A Little High
O4: Actions ,Adventurousness,32,55,A Little High
O2: Aesthetics ,Aesthetic Appreciation,40,75,High
O3: Feelings ,Emotionality,35,62,A Little High
O1: Fantasy ,Imagination,30,50,Average
O5: Ideas ,Intellect,40,75,High
O6: Values ,Liberalism,35,62,A Little High
,,,,
Agreeableness,,211,62,A Little High
A3: Altruism ,Altruism,39,72,High
A4: Compliance ,Cooperation,32,55,A Little High
A5: Modesty ,Modesty/Humility,28,45,A Little Low
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,40,75,High
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,241,75,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,36,65,High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,42,80,Very High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
