Ted Cruz,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,141,33,Low
N2: Angry Hostility ,Anger,28,45,A Little Low
N1: Anxiety ,Anxiety,26,40,A Little Low
N3: Depression ,Depression,21,27,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,21,27,Low
,,,,
Extraversion ,,210,62,A Little High
E4: Activity ,Activity-Level,34,60,A Little High
E3: Assertiveness ,Assertiveness,48,95,Very High
E6: Positive Emotions ,Cheerfulness,24,35,Low
E5: Excitement-Seeking ,Excitement-Seeking,30,50,Average
E1: Warmth ,Friendliness,34,60,A Little High
E2: Gregariousness ,Gregariousness,40,75,High
,,,,
Openness ,,159,41,A Little Low
O4: Actions ,Adventurousness,22,30,Low
O2: Aesthetics ,Aesthetic Appreciation,29,47,Average
O3: Feelings ,Emotionality,26,40,A Little Low
O1: Fantasy ,Imagination,31,52,Average
O5: Ideas ,Intellect,36,65,High
O6: Values ,Liberalism,15,12,Very Low
,,,,
Agreeableness,,120,25,Low
A3: Altruism ,Altruism,20,25,Low
A4: Compliance ,Cooperation,21,27,Low
A5: Modesty ,Modesty/Humility,16,15,Very Low
A2: Straightforwardness ,Morality,26,40,A Little Low
A6: Tender-Mindedness ,Sympathy,17,17,Very Low
A1: Trust ,Trust,20,25,Low
,,,,
Conscientiousness ,,225,68,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,35,62,A Little High
C3: Dutifulness ,Dutifulness,32,55,A Little High
C2: Order ,Orderliness,38,70,High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,38,70,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
