Score:,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,130,29,Low
N2: Angry Hostility ,Anger,19,22,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,24,35,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,197,57,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,30,50,Average
E6: Positive Emotions ,Cheerfulness,34,60,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,29,47,Average
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,32,55,A Little High
,,,,
Openness ,,222,67,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,40,75,High
O3: Feelings ,Emotionality,35,62,A Little High
O1: Fantasy ,Imagination,38,70,High
O5: Ideas ,Intellect,39,72,High
O6: Values ,Liberalism,34,60,A Little High
,,,,
Agreeableness,,228,70,High
A3: Altruism ,Altruism,41,77,High
A4: Compliance ,Cooperation,40,75,High
A5: Modesty ,Modesty/Humility,36,65,High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender- Mindedness ,Sympathy,35,62,A Little High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,230,70,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,35,62,A Little High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,41,77,High
