Score:,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,124,26,Low
N2: Angry Hostility ,Anger,22,30,Low
N1: Anxiety ,Anxiety,19,22,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,20,25,Low
N4: Self-Consciousness ,Self-consciousness,24,35,Low
N6: Vulnerability ,Vulnerability,19,22,Low
,,,,
Extraversion ,,194,55,A Little High
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,26,40,A Little Low
E6: Positive Emotions ,Cheerfulness,34,60,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,30,50,Average
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,36,65,High
,,,,
Openness ,,218,65,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,39,72,High
O3: Feelings ,Emotionality,28,45,A Little Low
O1: Fantasy ,Imagination,42,80,Very High
O5: Ideas ,Intellect,42,80,Very High
O6: Values ,Liberalism,31,52,Average
,,,,
Agreeableness,,217,65,High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,32,55,A Little High
A5: Modesty ,Modesty/Humility,32,55,A Little High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender- Mindedness ,Sympathy,37,67,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,235,72,High
C4: Achievement-Striving ,Achievement-Striving,38,70,High
C6: Deliberation ,Cautiousness,41,77,High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,42,80,Very High
