Peregrin 'Pippin' Took,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,135,31,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,31,52,Average
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,206,60,A Little High
E4: Activity ,Activity-Level,24,35,Low
E3: Assertiveness ,Assertiveness,30,50,Average
E6: Positive Emotions ,Cheerfulness,40,75,High
E5: Excitement-Seeking ,Excitement-Seeking,32,55,A Little High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,40,75,High
,,,,
Openness ,,189,53,Average
O4: Actions ,Adventurousness,32,55,A Little High
O2: Aesthetics ,Aesthetic Appreciation,37,67,High
O3: Feelings ,Emotionality,25,37,A Little Low
O1: Fantasy ,Imagination,37,67,High
O5: Ideas ,Intellect,24,35,Low
O6: Values ,Liberalism,34,60,A Little High
,,,,
Agreeableness,,227,69,High
A3: Altruism ,Altruism,38,70,High
A4: Compliance ,Cooperation,40,75,High
A5: Modesty ,Modesty/Humility,36,65,High
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,37,67,High
A1: Trust ,Trust,40,75,High
,,,,
Conscientiousness ,,186,52,Average
C4: Achievement-Striving ,Achievement-Striving,32,55,A Little High
C6: Deliberation ,Cautiousness,24,35,Low
C3: Dutifulness ,Dutifulness,38,70,High
C2: Order ,Orderliness,28,45,A Little Low
C5: Self-Discipline ,Self-Discipline,32,55,A Little High
C1: Competence,Self-Efficacy,32,55,A Little High
