IPIP 300 Item NEO-PI-R Open Source Questionnaire,,,,,,,,,,,,,,,
,Enter an “x” in Precisely One Column for Each Item,,,,,,,,,,,,,,
"With Respect to the Person Being Analyzed,",Very,,,,Very,|,,,,,,,,,
How Accurate Is Each Item?,Inaccurate,Inaccurate,Neutral,Accurate,Accurate,|,Facet,α,Key,Val,Val,Val,Val,Val,Score For This Item
Look at the bright side of life.,,x,,,,|,Cheerfulness,0.81,1,1,2,3,4,5,2
Believe that criminals should receive help rather than punishment.,x,,,,,|,Liberalism,0.86,1,1,2,3,4,5,1
Can't make up my mind.,,,,,x,|,Vulnerability,0.82,1,1,2,3,4,5,5
Dislike talking about myself.,x,,,,,|,Modesty/Humility,0.77,1,1,2,3,4,5,1
Am not bothered by messy people.,,,,x,,|,Orderliness,0.82,-1,5,4,3,2,1,2
Obstruct others' plans.,,,,,x,|,Morality,0.75,-1,5,4,3,2,1,1
Often feel blue.,,x,,,,|,Depression,0.88,1,1,2,3,4,5,2
Rarely overindulge.,,x,,,,|,Immoderation,0.77,-1,5,4,3,2,1,4
Would never go hang gliding or bungee jumping.,,,,x,,|,Excitement-Seeking,0.78,-1,5,4,3,2,1,2
Fear for the worst.,,,,x,,|,Anxiety,0.83,1,1,2,3,4,5,4
Turn my back on others.,,,,x,,|,Altruism,0.77,-1,5,4,3,2,1,2
Enjoy thinking about things.,,x,,,,|,Intellect,0.86,1,1,2,3,4,5,2
Demand quality.,,,,x,,|,Achievement-Striving,0.78,1,1,2,3,4,5,4
Like to take my time.,,,,x,,|,Activity-Level,0.71,-1,5,4,3,2,1,2
Trust what people say.,,x,,,,|,Trust,0.82,1,1,2,3,4,5,2
Handle tasks smoothly.,,,,x,,|,Self-Efficacy,0.78,1,1,2,3,4,5,4
Stick to my chosen path.,,,,x,,|,Cautiousness,0.76,1,1,2,3,4,5,4
Do not like concerts.,,,,x,,|,Aesthetic Appreciation,0.84,-1,5,4,3,2,1,2
Need a push to get started.,x,,,,,|,Self-Discipline,0.85,-1,5,4,3,2,1,5
Readily overcome setbacks.,,,,,x,|,Vulnerability,0.82,-1,5,4,3,2,1,1
Love surprise parties.,,,,x,,|,Gregariousness,0.79,1,1,2,3,4,5,4
Am hard to get to know.,,x,,,,|,Friendliness,0.87,-1,5,4,3,2,1,4
Get angry easily.,,,,x,,|,Anger,0.88,1,1,2,3,4,5,4
Interested in many things.,,,,x,,|,Adventurousness,0.77,1,1,2,3,4,5,4
Rarely notice my emotional reactions.,,,,x,,|,Emotionality,0.81,-1,5,4,3,2,1,2
Feel that my life lacks direction.,,x,,,,|,Depression,0.88,1,1,2,3,4,5,2
Do the opposite of what is asked.,,,,x,,|,Dutifulness,0.71,-1,5,4,3,2,1,2
Love excitement.,,,,x,,|,Excitement-Seeking,0.78,1,1,2,3,4,5,4
Find it difficult to approach others.,,x,,,,|,Self-consciousness,0.80,1,1,2,3,4,5,2
Anticipate the needs of others.,,,,x,,|,Altruism,0.77,1,1,2,3,4,5,4
Leave a mess in my room.,,,,x,,|,Orderliness,0.82,-1,5,4,3,2,1,2
Make rash decisions.,,,,x,,|,Cautiousness,0.76,-1,5,4,3,2,1,2
Tend to vote for liberal political candidates.,x,,,,,|,Liberalism,0.86,1,1,2,3,4,5,1
Love life.,,,,,x,|,Cheerfulness,0.81,1,1,2,3,4,5,5
Know how to get around the rules.,,,,,x,|,Morality,0.75,-1,5,4,3,2,1,1
Don't worry about things that have already happened.,,,,,x,|,Anxiety,0.83,-1,5,4,3,2,1,1
Spend time reflecting on things.,,x,,,,|,Imagination,0.83,1,1,2,3,4,5,2
Distrust people.,,,,x,,|,Trust,0.82,-1,5,4,3,2,1,2
Don't see the consequences of things.,,,,x,,|,Self-Efficacy,0.78,-1,5,4,3,2,1,2
Like to solve complex problems.,,,,x,,|,Intellect,0.86,1,1,2,3,4,5,4
Like to visit new places.,,,,x,,|,Adventurousness,0.77,1,1,2,3,4,5,4
Work hard.,,,,,x,|,Achievement-Striving,0.78,1,1,2,3,4,5,5
Often feel uncomfortable around others.,,x,,,,|,Friendliness,0.87,-1,5,4,3,2,1,4
Get irritated easily.,,,,x,,|,Anger,0.88,1,1,2,3,4,5,4
Am able to control my cravings.,,x,,,,|,Immoderation,0.77,-1,5,4,3,2,1,4
Can manage many things at the same time.,,,,x,,|,Activity-Level,0.71,1,1,2,3,4,5,4
Hate to seem pushy.,x,,,,,|,Cooperation,0.73,1,1,2,3,4,5,1
Enjoy the beauty of nature.,,x,,,,|,Aesthetic Appreciation,0.84,1,1,2,3,4,5,2
Seek adventure.,,,,x,,|,Excitement-Seeking,0.78,1,1,2,3,4,5,4
Try not to think about the needy.,,,,x,,|,Sympathy,0.75,-1,5,4,3,2,1,2
Keep in the background.,x,,,,,|,Assertiveness,0.84,-1,5,4,3,2,1,5
Am concerned about others.,,x,,,,|,Altruism,0.77,1,1,2,3,4,5,2
Get overwhelmed by emotions.,,x,,,,|,Vulnerability,0.82,1,1,2,3,4,5,2
Dislike being the center of attention.,x,,,,,|,Modesty/Humility,0.77,1,1,2,3,4,5,1
Experience my emotions intensely.,,,,x,,|,Emotionality,0.81,1,1,2,3,4,5,4
Like to stand during the national anthem.,,,,,x,|,Liberalism,0.86,-1,5,4,3,2,1,1
Talk to a lot of different people at parties.,,,,,x,|,Gregariousness,0.79,1,1,2,3,4,5,5
Am able to stand up for myself.,,,,,x,|,Self-consciousness,0.80,-1,5,4,3,2,1,1
Leave my belongings around.,,,,x,,|,Orderliness,0.82,-1,5,4,3,2,1,2
Act comfortably with others.,,,,x,,|,Friendliness,0.87,1,1,2,3,4,5,4
Suspect hidden motives in others.,,,,x,,|,Trust,0.82,-1,5,4,3,2,1,2
Avoid philosophical discussions.,,,,x,,|,Intellect,0.86,-1,5,4,3,2,1,2
Am not easily disturbed by events.,,,,x,,|,Anxiety,0.83,-1,5,4,3,2,1,2
Take advantage of others.,,,,x,,|,Morality,0.75,-1,5,4,3,2,1,2
Am not easily amused.,,,,x,,|,Cheerfulness,0.81,-1,5,4,3,2,1,2
Choose my words with care.,,x,,,,|,Cautiousness,0.76,1,1,2,3,4,5,2
Am calm even in tense situations.,,x,,,,|,Vulnerability,0.82,-1,5,4,3,2,1,4
Take charge.,,,,,x,|,Assertiveness,0.84,1,1,2,3,4,5,5
Do things I later regret.,,,,x,,|,Immoderation,0.77,1,1,2,3,4,5,4
Am indifferent to the feelings of others.,,,,x,,|,Altruism,0.77,-1,5,4,3,2,1,2
Am not highly motivated to succeed.,x,,,,,|,Achievement-Striving,0.78,-1,5,4,3,2,1,5
Can't stand confrontations.,x,,,,,|,Cooperation,0.73,1,1,2,3,4,5,1
Love to daydream.,,x,,,,|,Imagination,0.83,1,1,2,3,4,5,2
Seldom feel blue.,,,,x,,|,Depression,0.88,-1,5,4,3,2,1,2
Know how to get things done.,,,,,x,|,Self-Efficacy,0.78,1,1,2,3,4,5,5
Am always busy.,,,,,x,|,Activity-Level,0.71,1,1,2,3,4,5,5
Get chores done right away.,,,,x,,|,Self-Discipline,0.85,1,1,2,3,4,5,4
Pay my bills on time.,,,,x,,|,Dutifulness,0.71,1,1,2,3,4,5,4
Believe in an eye for an eye.,,,,,x,|,Sympathy,0.75,-1,5,4,3,2,1,1
Seldom joke around.,,,,x,,|,Cheerfulness,0.81,-1,5,4,3,2,1,2
Consider myself an average person.,,x,,,,|,Modesty/Humility,0.77,1,1,2,3,4,5,2
Try to lead others.,,,,,x,|,Assertiveness,0.84,1,1,2,3,4,5,5
Feel comfortable around people.,,,,,x,|,Friendliness,0.87,1,1,2,3,4,5,5
Love to eat.,,,,x,,|,Immoderation,0.77,1,1,2,3,4,5,4
Trust others.,,x,,,,|,Trust,0.82,1,1,2,3,4,5,2
Look down on others.,,,,,x,|,Altruism,0.77,-1,5,4,3,2,1,1
Cheat to get ahead.,,,,x,,|,Morality,0.75,-1,5,4,3,2,1,2
Am not bothered by disorder.,,,,x,,|,Orderliness,0.82,-1,5,4,3,2,1,2
Set high standards for myself and others.,,,,x,,|,Achievement-Striving,0.78,1,1,2,3,4,5,4
Willing to try anything once.,,,,x,,|,Excitement-Seeking,0.78,1,1,2,3,4,5,4
Stumble over my words.,,,,x,,|,Self-consciousness,0.80,1,1,2,3,4,5,4
Am always on the go.,,,,x,,|,Activity-Level,0.71,1,1,2,3,4,5,4
Seldom get mad.,,x,,,,|,Anger,0.88,-1,5,4,3,2,1,4
Like music.,,,x,,,|,Aesthetic Appreciation,0.84,1,1,2,3,4,5,3
Believe in one true religion.,,,,x,,|,Liberalism,0.86,-1,5,4,3,2,1,2
Get others to do my duties.,,,,x,,|,Dutifulness,0.71,-1,5,4,3,2,1,2
Get back at others.,,,,,x,|,Cooperation,0.73,-1,5,4,3,2,1,1
Adapt easily to new situations.,,,,x,,|,Anxiety,0.83,-1,5,4,3,2,1,2
Like to begin new things.,,,,x,,|,Adventurousness,0.77,1,1,2,3,4,5,4
Amuse my friends.,,,,x,,|,Cheerfulness,0.81,1,1,2,3,4,5,4
Enjoy examining myself and my life.,,x,,,,|,Emotionality,0.81,1,1,2,3,4,5,2
Wait for others to lead the way.,,x,,,,|,Assertiveness,0.84,-1,5,4,3,2,1,4
Complete tasks successfully.,,,,x,,|,Self-Efficacy,0.78,1,1,2,3,4,5,4
Am always prepared.,,,,x,,|,Self-Discipline,0.85,1,1,2,3,4,5,4
Rush into things.,,,,x,,|,Cautiousness,0.76,-1,5,4,3,2,1,2
Avoid difficult reading material.,,,,,x,|,Intellect,0.86,-1,5,4,3,2,1,1
Don't know why I do some of the things I do.,,,,x,,|,Immoderation,0.77,1,1,2,3,4,5,4
React slowly.,,x,,,,|,Activity-Level,0.71,-1,5,4,3,2,1,4
Love large parties.,,,,,x,|,Gregariousness,0.79,1,1,2,3,4,5,5
Have difficulty imagining things.,,x,,,,|,Imagination,0.83,-1,5,4,3,2,1,4
Am not embarrassed easily.,,,,x,,|,Self-consciousness,0.80,-1,5,4,3,2,1,2
Believe that we should be tough on crime.,,,,,x,|,Liberalism,0.86,-1,5,4,3,2,1,1
Am sure of my ground.,,,,,x,|,Self-Efficacy,0.78,1,1,2,3,4,5,5
