Score:,,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,,Raw,Percent,Meaning
Neuroticism ,,,133,30,Low
N2: Angry Hostility ,Anger,,20,25,Low
N1: Anxiety ,Anxiety,,24,35,Low
N3: Depression ,Depression,,20,25,Low
N5: Impulsiveness ,Immoderation,,25,37,A Little Low
N4: Self-Consciousness ,Self-consciousness,,24,35,Low
N6: Vulnerability ,Vulnerability,,20,25,Low
,,,,,
Extraversion ,,,221,67,High
E4: Activity ,Activity-Level,,32,55,A Little High
E3: Assertiveness ,Assertiveness,,40,75,High
E6: Positive Emotions ,Cheerfulness,,40,75,High
E5: Excitement-Seeking ,Excitement-Seeking,,28,45,A Little Low
E1: Warmth ,Friendliness,,40,75,High
E2: Gregariousness ,Gregariousness,,41,77,High
,,,,,
Openness ,,,219,66,High
O4: Actions ,Adventurousness,,35,62,A Little High
O2: Aesthetics ,Aesthetic Appreciation,,36,65,High
O3: Feelings ,Emotionality,,37,67,High
O1: Fantasy ,Imagination,,35,62,A Little High
O5: Ideas ,Intellect,,40,75,High
O6: Values ,Liberalism,,36,65,High
,,,,,
Agreeableness,,,213,63,A Little High
A3: Altruism ,Altruism,,40,75,High
A4: Compliance ,Cooperation,,36,65,High
A5: Modesty ,Modesty/Humility,,24,35,Low
A2: Straightforwardness ,Morality,,34,60,A Little High
A6: Tender- Mindedness ,Sympathy,,41,77,High
A1: Trust ,Trust,,38,70,High
,,,,,
Conscientiousness ,,,229,70,High
C4: Achievement-Striving ,Achievement-Striving,,41,77,High
C6: Deliberation ,Cautiousness,,31,52,Average
C3: Dutifulness ,Dutifulness,,40,75,High
C2: Order ,Orderliness,,36,65,High
C5: Self-Discipline ,Self-Discipline,,41,77,High
C1: Competence,Self-Efficacy,,40,75,High
