Mitch McConnell,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,124,26,Low
N2: Angry Hostility ,Anger,22,30,Low
N1: Anxiety ,Anxiety,18,20,Very Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,174,47,Average
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,38,70,High
E6: Positive Emotions ,Cheerfulness,32,55,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,23,32,Low
E1: Warmth ,Friendliness,28,45,A Little Low
E2: Gregariousness ,Gregariousness,25,37,A Little Low
,,,,
Openness ,,136,31,Low
O4: Actions ,Adventurousness,21,27,Low
O2: Aesthetics ,Aesthetic Appreciation,23,32,Low
O3: Feelings ,Emotionality,23,32,Low
O1: Fantasy ,Imagination,22,30,Low
O5: Ideas ,Intellect,29,47,Average
O6: Values ,Liberalism,18,20,Very Low
,,,,
Agreeableness,,164,43,A Little Low
A3: Altruism ,Altruism,25,37,A Little Low
A4: Compliance ,Cooperation,26,40,A Little Low
A5: Modesty ,Modesty/Humility,24,35,Low
A2: Straightforwardness ,Morality,30,50,Average
A6: Tender-Mindedness ,Sympathy,21,27,Low
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,235,72,High
C4: Achievement-Striving ,Achievement-Striving,41,77,High
C6: Deliberation ,Cautiousness,42,80,Very High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,34,60,A Little High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,38,70,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
