Stacey Abrams:,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,145,35,Low
N2: Angry Hostility ,Anger,25,37,A Little Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,30,50,Average
N4: Self-Consciousness ,Self-consciousness,28,45,A Little Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,187,52,Average
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,41,77,High
E6: Positive Emotions ,Cheerfulness,32,55,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,25,37,A Little Low
E1: Warmth ,Friendliness,30,50,Average
E2: Gregariousness ,Gregariousness,27,42,A Little Low
,,,,
Openness ,,219,66,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,37,67,High
O3: Feelings ,Emotionality,33,57,A Little High
O1: Fantasy ,Imagination,34,60,A Little High
O5: Ideas ,Intellect,39,72,High
O6: Values ,Liberalism,40,75,High
,,,,
Agreeableness,,227,69,High
A3: Altruism ,Altruism,42,80,Very High
A4: Compliance ,Cooperation,34,60,A Little High
A5: Modesty ,Modesty/Humility,34,60,A Little High
A2: Straightforwardness ,Morality,38,70,High
A6: Tender-Mindedness ,Sympathy,43,82,Very High
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,242,75,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,39,72,High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,38,70,High
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,41,77,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
